Date,above_20,above_60,above_120,above_200
2025-05-15,72.10597621556525,56.49054142204827,53.223945004766925,40.839981935872345
2025-05-16,72.95398665261679,57.79015505042902,54.4482914345928,41.76827738471574
2025-05-19,72.75829193637412,58.52275578302975,55.25114155251142,42.46073561142054
2025-05-20,72.68804255105626,59.50624717748005,56.28982889256862,43.28365698228712
2025-05-21,72.35184906417783,60.33418636158362,57.147874956094135,44.04134678107281
2025-05-22,71.43111202664194,60.92827960311739,57.772164869497246,44.595952473385786
2025-05-23,70.40995005955352,61.442050859498586,58.35125749040673,45.1404644382294
2025-05-26,69.57418308680023,62.02593945348091,59.00549582597167,45.8002276502637
2025-05-27,68.24673379972586,62.42415311196854,59.423976168028084,46.35965044328419
2025-05-28,67.13985173682362,62.952682021175164,59.92263060179427,47.05941354968031
2025-05-29,66.28837636768422,63.445906652828064,60.52640030001242,47.86934142521742
2025-05-30,65.5323609339471,63.94917747477228,61.11514296806294,48.7444850271094
2025-06-02,64.49046219341822,64.2066493948253,61.49817642103151,49.39886597420844
2025-06-04,64.22068870807155,64.8000559882319,62.14191432215945,50.31397777901022
2025-06-05,64.24175824175825,65.52882205513784,62.936086264132406,51.32932436465241
2025-06-09,64.53857509949796,66.32769489582755,63.80537222930878,52.52013067442051
2025-06-10,64.86047045960528,67.0914113524063,64.54418976841472,53.615598532685766
2025-06-11,65.58371693195052,68.035668729252,65.39832721952405,54.8665393726677
2025-06-12,66.20655960237792,68.79421947915098,66.1069375229433,55.98700650467053
2025-06-13,66.48368550459394,69.33220300487784,66.57994829011412,56.906924846362486
2025-06-16,66.77579618170823,69.76983554777355,66.98764297466533,57.68632328978399
2025-06-17,67.19347367364671,70.3429860214287,67.44556332876448,58.490831927025155
2025-06-18,67.97248653773528,71.07669595485024,68.05900420175836,59.43076870257836
2025-06-19,69.15801622074153,72.02618770318843,68.89323413908849,60.48609933685638
2025-06-20,70.3935972703096,72.97052959057285,69.67720143351,61.50622604984537
2025-06-23,70.74686716791979,73.64411027568923,70.31077694235589,62.35588972431077
2025-06-24,71.9498746867168,74.63157894736841,71.18796992481202,63.493734335839605
2025-06-25,73.06265664160402,75.58897243107769,72.07518796992483,64.56641604010025
2025-06-26,73.26817042606517,76.29573934837092,72.69172932330828,65.38847117794487
2025-06-27,72.98245614035088,76.85213032581453,73.2982456140351,66.1453634085213
2025-06-30,72.55639097744361,77.29323308270676,73.80952380952381,66.82706766917292
2025-07-01,72.41604010025063,77.72431077694236,74.28070175438597,67.42857142857143
2025-07-02,72.3358395989975,78.19047619047619,74.86215538847118,68.08521303258146
2025-07-03,72.63659147869673,78.85213032581453,75.5187969924812,68.83709273182957
2025-07-04,71.61904761904762,79.10275689223057,75.88471177944864,69.3483709273183
2025-07-07,70.3358395989975,79.17794486215539,76.11528822055138,69.71929824561404
2025-07-08,69.25814536340852,79.19298245614034,76.25062656641605,69.95989974937343
2025-07-09,68.58646616541354,79.203007518797,76.42606516290726,70.30075187969925
2025-07-10,68.06015037593986,79.20802005012531,76.5513784461153,70.59649122807018
2025-07-11,67.50375939849624,79.1829573934837,76.69172932330828,70.89223057644111
2025-07-14,67.4937343358396,79.33834586466166,77.07268170426066,71.33333333333333
2025-07-15,67.3734335839599,79.48872180451129,77.3734335839599,71.75438596491229
2025-07-16,66.97744360902256,79.57393483709272,77.64411027568923,72.0952380952381
2025-07-17,66.63157894736842,79.63408521303258,77.89974937343358,72.45112781954887
2025-07-18,66.09022556390977,79.69924812030075,78.16040100250628,72.80200501253132
2025-07-21,65.28320802005013,79.71929824561403,78.3859649122807,73.07268170426066
2025-07-22,64.67167919799499,79.73934837092732,78.63659147869673,73.40350877192984
2025-07-23,63.22807017543859,79.50877192982456,78.7218045112782,73.5689223057644
2025-07-24,61.3032581453634,79.13784461152883,78.7218045112782,73.65413533834587
2025-07-25,59.91478696741854,78.76190476190476,78.82205513784461,73.84962406015038
2025-07-28,58.64160401002506,78.17543859649123,78.84711779448621,73.96992481203009
2025-07-29,57.318295739348365,77.54887218045113,78.84711779448622,74.0
2025-07-30,55.35338345864662,76.77694235588972,78.76190476190476,73.96491228070175
2025-07-31,53.41353383458647,75.91979949874687,78.54636591478696,73.7844611528822
2025-08-01,50.60093978373906,73.80759996732104,77.71614630688183,73.21991097617862
2025-08-04,48.615313256854016,72.10116247506252,77.0963159739517,72.82566563622515
2025-08-05,46.96025552841093,70.63012947721566,76.62674562325898,72.53159186082978
2025-08-06,45.1645464871432,69.29922071213787,76.28731133828262,72.30258611829258
2025-08-07,43.07297159829121,68.00834367727943,75.8977570108236,71.94328618602238
2025-08-08,40.896046636043316,66.5571394311225,75.48813674564961,71.63903449475423
2025-08-11,38.66402599558834,64.80047648037024,74.99837395802862,71.2897069171351
2025-08-12,36.39188402130458,62.98375275728753,74.39843562639511,70.92036083900604
2025-08-13,34.199905652670054,61.10194518894502,73.78848277370608,70.54600750034919
2025-08-14,32.50405719872763,59.26030112083574,73.23368884883081,70.29193383036983
2025-08-18,30.467715028897167,57.1482807966288,72.38845800094347,69.75738505042838
2025-08-19,28.611913590495696,54.85600963502342,71.43807468197308,69.15272408149711
2025-08-20,26.73122870267151,52.32831289580419,70.22726637835387,68.42789413070004
2025-08-21,25.617271359260403,50.04617221286656,69.21686445345752,67.83833927616095
2025-08-22,24.71875271775654,47.75904535260339,68.18142622592234,67.25376005734631
2025-08-25,24.621928111551224,45.70740204876017,67.30626250168007,66.84452983141344
2025-08-26,24.55026630719807,43.73100469364789,66.46620757993827,66.39022371912958
2025-08-27,24.919701988936588,42.030370352801036,65.70643749225852,66.06126251485706
2025-08-28,25.52947036360618,40.35979538752243,64.97171951961924,65.73231712298623
2025-08-29,25.943829078479585,38.70923365195323,64.04659914771155,65.288130947769
2025-09-01,26.05277652596265,36.958589955435386,62.98132291823144,64.81398027139352
2025-09-02,26.848930949877325,36.352711431575784,62.490611386510444,64.64874067397726
2025-09-03,27.730208802764007,35.501477141855695,61.914776425817436,64.43342847128336
2025-09-04,28.65655200040058,34.555104902108056,61.404035851985384,64.19808722647839
2025-09-05,29.547844374342795,33.44349306494417,60.70301937809824,63.90766611586801
2025-09-08,30.634419908867862,32.42201191728005,60.07210455159983,63.71739021581293
2025-09-09,31.95132942767012,31.610835711782084,59.54634219618447,63.48204897100796
2025-09-10,33.70887787291573,31.260327474838515,59.12072505132443,63.34184567623053
2025-09-11,35.60662961293876,31.095087877422262,58.85534024335286,63.28175854989735
2025-09-12,37.75975163987782,31.140153222172145,58.67007160382555,63.276751289369585
2025-09-15,39.687546943067446,31.385508988032647,58.53487556957589,63.22667868409193
2025-09-16,41.790596364728856,31.781082569726102,58.58494817485354,63.34184567623054
2025-09-17,43.7584497521406,32.33188122778028,58.6901006459366,63.4770417104802
2025-09-18,46.10184767913474,33.15307195433378,59.0806669671023,63.86260077111812
2025-09-19,47.91948325071354,33.75895047819338,59.26092834610185,64.07290571328426
2025-09-22,49.466726753793,34.36482900205298,59.371088077712685,64.18807270542287
2025-09-23,50.35801912773521,34.79044614691303,59.300986430323974,64.17805818436734
2025-09-24,50.748585448900904,35.02578739171799,59.06564518551901,64.08792749486756
2025-09-25,51.01397025687247,35.26613589705072,58.88538380651945,64.00781132642331
2025-09-26,50.40809173301287,35.17600520755095,58.40969405638175,63.71739021581293
2025-09-29,50.21280857243003,35.271143157578486,58.10925842471585,63.60222322367432
2025-09-30,50.16273596715237,35.44639727605027,57.87391717991087,63.562165139452205
2025-10-01,49.98626685164076,35.64519393456647,57.62118727617229,63.54919465157251
2025-10-02,49.91965240354817,35.974047873618424,57.40842604128928,63.501141781633784
2025-10-10,49.31251680482919,36.1377516306207,56.82533265672199,63.27295902588164
2025-10-13,48.42500617492002,36.116328760736685,56.187227782806076,62.95470343763162
